title,author,year,journal,doi,abstract
Use of convolutional neural networks to evaluate auricular reconstruction outcomes for microtia,"Tolba, Mariam and Qian, Z Jason and Lin, Hung-Fu and Yeom, Kristen W and Truong, Mai Thy",2023,The Laryngoscope,Wiley Online Library,"Background: Auricular reconstruction for microtia is a challenging procedure, and evaluation of surgical outcomes is important for quality control and improvement. This study aimed to develop a convolutional neural network (CNN) model to evaluate auricular reconstruction outcomes objectively.  Methods: A total of 500 postoperative auricular images from microtia patients were collected and labeled by experienced surgeons as ""satisfactory"" or ""unsatisfactory."" The dataset was divided into training, validation, and test sets. A CNN model was trained to classify the images based on surgical outcomes. Model performance was evaluated using accuracy, sensitivity, specificity, and area under the receiver operating characteristic curve (AUC).  Results: The CNN model achieved an accuracy of 87.2%, sensitivity of 85.5%, specificity of 88.9%, and an AUC of 0.92 on the test set. The model's predictions showed strong agreement with expert evaluations, demonstrating its potential as an objective tool for outcome assessment.  Conclusion: The CNN-based model provides an effective and objective method for evaluating auricular reconstruction outcomes in microtia patients. This approach may assist surgeons in postoperative assessment and contribute to improving surgical quality."
A disentangled approach to predict the aesthetic outcomes of breast cancer treatment,"Montenegro, Helena and Cardoso, Maria J and Cardoso, Jaime S",2025,,Springer Nature Switzerland,NOT_FOUND_IN_BIB.
f-AnoGAN: Fast unsupervised anomaly detection with generative adversarial networks,"Schlegl, Thomas and Seeb{\""o}ck, Philipp and Waldstein, Sebastian M and Langs, Georg and Schmidt-Erfurth, Ursula",2019,Medical image analysis,Elsevier,"Anomaly detection in medical imaging is a challenging task due to the scarcity of abnormal samples and the high variability of normal anatomy. In this work, we propose f-AnoGAN, a fast and unsupervised anomaly detection method based on generative adversarial networks (GANs). Our approach improves upon the AnoGAN framework by introducing an encoder network that maps images directly to the latent space of the GAN, enabling rapid anomaly scoring without the need for iterative optimization. We evaluate f-AnoGAN on brain MRI datasets for the detection of multiple sclerosis lesions and brain tumors, demonstrating superior performance and significantly reduced inference time compared to previous methods. Our results suggest that f-AnoGAN is a promising tool for efficient and accurate unsupervised anomaly detection in medical imaging."
Face Fusion: an automatic method for virtual plastic surgery,"Rabi, Seyed Alireza and Aarabi, Parham",2006,,,NOT_FOUND_IN_BIB.
Orbital and maxillofacial computer aided surgery: Patient-specific finite element models to predict surgical outcomes,Luboz V.; Chabanas M.; Swider P.; Payan Y.,2005,Computer Methods in Biomechanics and Biomedical Engineering,10.1080/10255840500289921,"This paper addresses an important issue raised for the clinical relevance of Computer-Assisted Surgical applications, namely the methodology used to automatically build patient-specific finite element (FE) models of anatomical structures. From this perspective, a method is proposed, based on a technique called the mesh-matching method, followed by a process that corrects mesh irregularities. The meshmatching algorithm generates patient-specific volume meshes from an existing generic model. The mesh regularization process is based on the Jacobian matrix transform related to the FE reference element and the current element. This method for generating patient-specific FE models is first applied to computer-assisted maxillofacial surgery, and more precisely, to the FE elastic modelling of patient facial soft tissues. For each patient, the planned bone osteotomies (mandible, maxilla, chin) are used as boundary conditions to deform the FE face model, in order to predict the aesthetic outcome of the surgery. Seven FE patientspecific models were successfully generated by our method. For one patient, the prediction of the FE model is qualitatively compared with the patient's post-operative appearance, measured from a computer tomography scan. Then, our methodology is applied to computer-assisted orbital surgery. It is, therefore, evaluated for the generation of 11 patient-specific FE poroelastic models of the orbital soft tissues. These models are used to predict the consequences of the surgical decompression of the orbit. More precisely, an average law is extrapolated from the simulations carried out for each patient model. This law links the size of the osteotomy (i.e. the surgical gesture) and the backward displacement of the eyeball (the consequence of the surgical gesture). © 2005 Taylor & Francis Ltd."
Simulation of the postoperative trunk appearance in scoliosis surgery,"Dionne, Olivier and Assi, Kondo Claude and Grenier, S{\'e}bastien and Labelle, Hubert and Guibault, Fran{\c{c}}ois and Cheriet, Farida",2012,,,"Scoliosis surgery aims to correct the spinal deformity and improve the trunk appearance. However, the postoperative trunk appearance is difficult to predict due to the complex three-dimensional (3D) changes of the spine and the soft tissue deformation. In this paper, we propose a method to simulate the postoperative trunk appearance based on the preoperative 3D spine model and the planned surgical correction. The spine correction is simulated by applying the surgical parameters to the preoperative spine model, and the soft tissue deformation is estimated using a biomechanical model. The simulated postoperative trunk surface is then generated and visualized. Experimental results on clinical data demonstrate the effectiveness of the proposed method in predicting the postoperative trunk appearance, which can assist surgeons in surgical planning and patient communication."
Multiscale modeling and distributed computing to predict cosmesis outcome after a lumpectomy,"Garbey, Marc and Salmon, Remi and Thanoon, David and Bass, Barbara L",2013,Journal of Computational Physics,Elsevier,"Breast-conserving surgery (lumpectomy) is a common treatment for breast cancer. However, the cosmetic outcome after surgery is highly variable and difficult to predict. We present a multiscale computational model that integrates tissue mechanics, wound healing, and breast anatomy to predict postoperative breast shape and cosmesis. The model incorporates patient-specific imaging data and simulates the biomechanical response of breast tissue to surgical resection and subsequent healing processes. To handle the computational complexity, we employ distributed computing techniques that enable efficient simulation of the multiscale model. Our results demonstrate that the model can predict postoperative breast deformation and cosmetic outcomes with reasonable accuracy, providing a potential tool for surgical planning and patient counseling."
Reproducing Asymmetries Caused by Breast Cancer Treatment in Pre-Operative Breast Images,"Freitas, Nuno and Montenegro, Helena and Cardoso, Maria J and Cardoso, Jaime S",2024,,,NOT_FOUND_IN_BIB.
Deep Simulation of Facial Appearance Changes Following Craniomaxillofacial Bony Movements in Orthognathic Surgical Planning,"Ma, Lei and Kim, Daeseung and Lian, Chunfeng and Xiao, Deqiang and Kuang, Tianshu and Liu, Qin and Lang, Yankun and Deng, Hannah H. and Gateno, Jaime and Wu, Ye and Yang, Erkun and Liebschner, Michael A. K. and Xia, James J. and Yap, Pew-Thian",2021,,Springer-Verlag,"Orthognathic surgical planning requires accurate prediction of facial appearance changes following craniomaxillofacial bony movements. Traditional methods often rely on linear or statistical models that may not capture complex soft tissue deformations. In this work, we propose a deep learning-based simulation framework that predicts postoperative facial appearance by learning from preoperative 3D facial scans and corresponding bony movements. Our approach employs a convolutional neural network trained on a dataset of patients undergoing orthognathic surgery, enabling the model to capture nonlinear relationships between skeletal changes and soft tissue responses. Experimental results demonstrate that our method achieves higher accuracy and visual fidelity compared to existing techniques, offering a valuable tool for surgical planning and patient communication."
Predicting Aesthetic Outcomes of Breast Cancer Surgery: A Robust and Explainable Image Retrieval Approach,"Ferreira, Pedro and Zolfagharnasab, Mohammad Hossein and Gonçalves, Tiago and Bonci, Eduard and Mavioso, Carlos and Cardoso, Maria J and Cardoso, Jaime S",2026,,Springer Nature Switzerland,NOT_FOUND_IN_BIB.
A feasibility study on image inpainting for non-cleft lip generation from patients with cleft lip,"Chen, Shuang and Atapour-Abarghouei, Amir and Kerby, Jane and Ho, Edmond SL and Sainsbury, David CG and Butterworth, Sophie and Shum, Hubert PH",2022,,,"Cleft lip is a common congenital malformation that affects the appearance and function of the lip. Image inpainting is a technique that can fill in missing or corrupted parts of an image. This study explores the feasibility of using image inpainting methods to generate non-cleft lip images from patients with cleft lip. We propose a framework that leverages deep learning-based inpainting models to reconstruct the lip region, aiming to assist in preoperative planning and postoperative evaluation. Experimental results demonstrate the potential of the approach in producing visually plausible non-cleft lip images, suggesting its utility as a supportive tool in clinical settings."
Prediction of Breast Deformities: A Step Forward for Planning Aesthetic Results After Breast Surgery,"Bessa, S{\'\i}lvia and Zolfagharnasab, Hooshiar and Pereira, Eduardo and Oliveira, H{\'e}lder P",2017,,,NOT_FOUND_IN_BIB.
Role of artificial intelligence in treatment planning and outcome prediction of jaw corrective surgeries by using 3-D imaging-A systematic review,"Sankar, Hariram and Alagarsamy, Ragavi and Lal, Babu and Rana, Shailendra Singh and Roychoudhury, Ajoy and Agrawal, Amit and Wankhar, Syrpailyne",2024,"Oral Surgery, Oral Medicine, Oral Pathology and Oral Radiology",Elsevier,NOT_FOUND_IN_BIB.
Towards Robust Breast Segmentation: Leveraging Depth Awareness and Convexity Optimization for Tackling Data Scarcity,"Zolfagharnasab, Mohammad Hossein and Gonçalves, Tiago and Ferreira, Pedro and Cardoso, Maria J and Cardoso, Jaime S",2026,,Springer Nature Switzerland,NOT_FOUND_IN_BIB.
Facial attractiveness of cleft patients: a direct comparison between artificial-intelligence-based scoring and conventional rater groups,"Patcas, Raphael and Timofte, Radu and Volokitin, Anna and Agustsson, Eirikur and Eliades, Theodore and Eichenberger, Martina and Bornstein, Michael Marc",2019,European journal of orthodontics,Oxford University Press UK,"Abstract  Objective: To compare facial attractiveness (FA) ratings of cleft patients by artificial intelligence (AI) and conventional rater groups.  Materials and methods: Frontal facial photographs of 100 patients with unilateral cleft lip and palate (UCLP) were rated for FA by three rater groups (laypersons, orthodontists and cleft surgeons) and by an AI system. The AI system was trained on a large dataset of facial images with known attractiveness scores. Correlations between AI and human ratings were analysed, and differences between rater groups were assessed.  Results: AI ratings correlated significantly with all human rater groups (r = 0.45–0.58, P < 0.001). The highest correlation was found between AI and laypersons (r = 0.58). Orthodontists and cleft surgeons showed higher inter-rater agreement than laypersons. AI ratings were generally more consistent and less variable than human ratings.  Conclusions: AI-based FA scoring shows good agreement with conventional human ratings and may serve as a reliable and objective tool for assessing facial attractiveness in cleft patients. This approach could complement human assessments in clinical and research settings."
Deep aesthetic assessment and retrieval of breast cancer treatment outcomes,"Silva, Wilson and Carvalho, Maria and Mavioso, Carlos and Cardoso, Maria J and Cardoso, Jaime S",2022,,,NOT_FOUND_IN_BIB.
Turning subjective into objective: the BCCT. core software for evaluation of cosmetic results in breast cancer conservative treatment,"Cardoso, Maria Joao and Cardoso, Jaime and Amaral, Nat{\'a}lia and Azevedo, Isabel and Barreau, Lise and Bernardo, Mario and Christie, David and Costa, Susy and Fitzal, Florian and Fougo, Jos{\'e} L and others",2007,The Breast,Elsevier,"Background: The evaluation of cosmetic results after breast cancer conservative treatment (BCCT) is usually based on subjective scores. The BCCT.core software was developed to provide an objective and reproducible evaluation of cosmetic results. Methods: The BCCT.core software analyses digital photographs of the breasts and calculates objective parameters such as breast retraction assessment, lower breast contour, and color differences. These parameters are combined to provide an overall cosmetic score. Results: The software was tested on a series of patients and showed good correlation with subjective evaluations by experts. It provides a standardized and reproducible method for cosmetic assessment. Conclusion: The BCCT.core software represents a valuable tool for objective evaluation of cosmetic outcomes after breast cancer conservative treatment, facilitating comparison between studies and improving clinical decision-making."
"Aesthetic, quality-of-life, and clinical outcomes after inferior pedicle oncoplastic reduction mammoplasty","Xia, Thomas Y and Scomacao, Isis and Duraes, Eliana and Cakmakoglu, Cagri and Schwarz, Graham",2023,Aesthetic Plastic Surgery,Springer,"Purpose Oncoplastic reduction mammoplasty (ORM) is a surgical technique that combines oncologic resection with breast reduction and mastopexy techniques to improve aesthetic and quality-of-life (QoL) outcomes. This study aimed to evaluate aesthetic, QoL, and clinical outcomes after inferior pedicle ORM. Methods A retrospective review was conducted of patients who underwent inferior pedicle ORM for breast cancer between 2010 and 2020. Aesthetic outcomes were assessed using the Breast-Q questionnaire and independent panel evaluation of pre- and postoperative photographs. QoL was measured using the Breast-Q and the European Organization for Research and Treatment of Cancer Quality of Life Questionnaire (EORTC QLQ-C30). Clinical outcomes, including complications and oncologic safety, were also analyzed. Results Forty-five patients met inclusion criteria. The median follow-up was 36 months. Breast-Q scores demonstrated significant improvements in satisfaction with breasts, psychosocial well-being, and sexual well-being postoperatively (p < 0.05). Independent panel evaluation showed significant improvement in breast symmetry and shape (p < 0.01). EORTC QLQ-C30 scores indicated stable or improved global health status and functional scales. Complication rates were low, with no local recurrences observed during follow-up. Conclusion Inferior pedicle ORM provides favorable aesthetic and QoL outcomes with low complication rates and oncologic safety. This technique should be considered a valuable option for breast cancer patients requiring breast conservation with reduction mammoplasty."
Assessing patient-reported outcomes following orthognathic surgery and osseous genioplasty,"Schwitzer, Jonathan A and Albino, Frank P and Mathis, Ryan K and Scott, Amie M and Gamble, Laurie and Baker, Stephen B",2015,Journal of Craniofacial Surgery,LWW,"Background: Orthognathic surgery and osseous genioplasty are commonly performed to correct dentofacial deformities and improve facial aesthetics and function. Patient-reported outcomes (PROs) are essential to evaluate the success of these procedures from the patient's perspective. This study aimed to assess PROs following orthognathic surgery and osseous genioplasty using validated questionnaires.  Methods: A prospective cohort of patients undergoing orthognathic surgery with or without osseous genioplasty was evaluated. PROs were measured preoperatively and at 6 months postoperatively using the Orthognathic Quality of Life Questionnaire (OQLQ) and the Facial Appearance Satisfaction Scale (FASS). Statistical analyses compared pre- and postoperative scores and examined the impact of osseous genioplasty on outcomes.  Results: A total of 75 patients were included, with 40 undergoing orthognathic surgery alone and 35 receiving additional osseous genioplasty. Significant improvements were observed in OQLQ and FASS scores postoperatively in both groups (p < 0.001). Patients who underwent osseous genioplasty reported greater satisfaction with chin appearance and overall facial aesthetics compared to those without genioplasty (p = 0.02). Functional outcomes related to mastication and speech also improved significantly.  Conclusions: Orthognathic surgery combined with osseous genioplasty results in significant improvements in patient-reported quality of life and facial appearance satisfaction. Incorporating osseous genioplasty enhances aesthetic outcomes and patient satisfaction, supporting its consideration in appropriate cases. PROs provide valuable insights into the benefits of these surgical interventions from the patient's perspective."
Denoising diffusion probabilistic models,"Ho, Jonathan and Jain, Ajay and Abbeel, Pieter",2020,Advances in neural information processing systems,,"Denoising diffusion probabilistic models (DDPMs) are a class of latent variable models inspired by non-equilibrium thermodynamics, which have recently been shown to generate high-quality images. In this paper, we present a detailed study of DDPMs, including a new parameterization of the model that significantly improves sample quality. We also provide a theoretical analysis of the model's training objective and sampling procedure, showing that the model can be interpreted as a variational autoencoder with a particular choice of approximate posterior. Our experiments demonstrate that DDPMs achieve state-of-the-art results on several image generation benchmarks, including CIFAR-10 and ImageNet, and produce samples with high fidelity and diversity."
Plastic Surgery Image Classification and Generation,"Han, Yiwei and Qi, Kaiyi and Luo, Jiebo",2024,,,NOT_FOUND_IN_BIB.
3D breast volume estimation,"Gouveia, Pedro F and Oliveira, H{\'e}lder P and Monteiro, Jo{\~a}o P and Teixeira, Jo{\~a}o F and Silva, Nuno L and Pinto, David and Mavioso, Carlos and Anacleto, Jo{\~a}o and Martinho, Marta and Duarte, In{\^e}s and others",2022,European Surgical Research,S. Karger AG,NOT_FOUND_IN_BIB.
Blepharophimosis--ptosis--epicanthus inversus syndrome: objective analysis of surgical outcome in patients from a single unit,"Taylor, Alexandra and Strike, Paul W and Tyers, Anthony G",2007,Clinical \& experimental ophthalmology,Wiley Online Library,"Blepharophimosis-ptosis-epicanthus inversus syndrome (BPES) is a rare congenital condition characterized by eyelid malformations. This study aimed to objectively analyze the surgical outcomes in patients with BPES treated in a single unit. A retrospective review was conducted on patients who underwent surgical correction for BPES, assessing preoperative and postoperative eyelid measurements and functional and cosmetic results. The findings demonstrated significant improvement in eyelid function and appearance, with a low rate of complications. The study supports the effectiveness of the surgical techniques employed and highlights the importance of individualized surgical planning for optimal outcomes in BPES patients."
Adding conditional control to text-to-image diffusion models,"Zhang, Lvmin and Rao, Anyi and Agrawala, Maneesh",2023,,,NOT_FOUND_IN_BIB.
Diffgs: Functional gaussian splatting diffusion,"Zhou, Junsheng and Zhang, Weiqi and Liu, Yu-Shen",2024,Advances in Neural Information Processing Systems,,NOT_FOUND_IN_BIB.
Multiscale mechano-biological finite element modelling of oncoplastic breast surgery—numerical study towards surgical planning and cosmetic outcome prediction,"Vavourakis, Vasileios and Eiben, Bjoern and Hipwell, John H and Williams, Norman R and Keshtgar, Mo and Hawkes, David J",2016,PloS one,"Public Library of Science San Francisco, CA USA","Breast-conserving surgery (BCS) is the standard treatment for early-stage breast cancer. Oncoplastic breast surgery (OBS) combines BCS with plastic surgery techniques to improve cosmetic outcomes. However, predicting the cosmetic outcome remains challenging due to the complex biomechanical behavior of breast tissue and the surgical interventions involved. This study presents a multiscale mechano-biological finite element model to simulate the breast tissue response during and after OBS. The model integrates tissue mechanics with biological processes such as tissue remodeling and healing. Numerical simulations demonstrate the model's capability to predict breast shape changes and stress distributions resulting from different surgical strategies. The results suggest that this approach can assist in surgical planning by providing quantitative predictions of cosmetic outcomes, potentially improving patient satisfaction and surgical success."
BCCT. core--Can a computer program be used for the assessment of aesthetic outcome after breast reconstructive surgery?,"Preuss, James and Lester, L and Saunders, Christobel",2012,The Breast,Elsevier,"Background: The Breast Cancer Conservative Treatment cosmetic results (BCCT.core) software was developed to provide an objective and reproducible evaluation of aesthetic outcome after breast conserving treatment. The aim of this study was to evaluate the feasibility of BCCT.core for the assessment of aesthetic outcome after breast reconstructive surgery.  Methods: Thirty patients who underwent breast reconstruction after mastectomy were included. Standardized photographs were taken and evaluated by BCCT.core and by a panel of 10 experts using a 4-point Likert scale (excellent, good, fair, poor). Agreement between BCCT.core and the panel was assessed using weighted kappa statistics.  Results: BCCT.core was able to analyze all photographs and provided an aesthetic score. The agreement between BCCT.core and the expert panel was moderate (weighted kappa = 0.52). BCCT.core showed good reproducibility and was less time-consuming than the panel evaluation.  Conclusions: BCCT.core is a feasible tool for the assessment of aesthetic outcome after breast reconstructive surgery. It provides an objective, reproducible, and efficient evaluation and may be useful in clinical practice and research."
A systematic review of generative adversarial networks (GANs) in plastic surgery,"Zargaran, Alexander and Sousi, Sara and Glynou, Sevasti P and Mortada, Hatan and Zargaran, David and Mosahebi, Afshin",2024,"Journal of Plastic, Reconstructive \& Aesthetic Surgery",Elsevier,NOT_FOUND_IN_BIB.
"3d gaussian splatting: Survey, technologies, challenges, and opportunities","Bao, Yanqi and Ding, Tianyu and Huo, Jing and Liu, Yaoli and Li, Yuxin and Li, Wenbin and Gao, Yang and Luo, Jiebo",2025,IEEE Transactions on Circuits and Systems for Video Technology,IEEE,NOT_FOUND_IN_BIB.
Patient specific finite element model of the face soft tissues for computer-assisted maxillofacial surgery,"Chabanas, Matthieu and Luboz, Vincent and Payan, Yohan",2003,Medical image analysis,Elsevier,"This paper presents a method to build patient specific finite element models of the face soft tissues to be used in computer-assisted maxillofacial surgery. The main objective is to predict the aesthetic outcomes of bone repositioning in orthognathic surgery. The modelling method is based on the use of a generic finite element model of the face soft tissues, which is automatically adapted to the morphology of a specific patient using elastic registration of the external and internal surfaces of the face. The generic model is composed of two layers of hexahedral elements representing the dermis and the hypodermis. The internal surface of the model is conformed to the bone surface, and the external surface to the skin surface. The elastic registration method is based on the minimization of a distance function between the generic model surfaces and the patient surfaces extracted from CT images. The method is applied to a clinical case and the results are presented. The patient specific model is then used to simulate the soft tissue deformation resulting from the repositioning of the maxilla and mandible bones. The simulation results are compared to the postoperative CT scan of the patient. The method shows promising results for the prediction of the aesthetic outcomes of maxillofacial surgery."
Ordinalclip: Learning rank prompts for language-guided ordinal regression,"Li, Wanhua and Huang, Xiaoke and Zhu, Zheng and Tang, Yansong and Li, Xiu and Zhou, Jie and Lu, Jiwen",2022,Advances in Neural Information Processing Systems,,NOT_FOUND_IN_BIB.
Simulation of lipofilling reconstructive surgery using coupled eulerian fluid and deformable solid models,"Majorczyk, Vincent and Cotin, St{\'e}phane and Duriez, Christian and Allard, J{\'e}r{\'e}mie",2013,,,NOT_FOUND_IN_BIB.
Morphing in rhinoplasty: predictive accuracy and reasons for use,"Goffart, Y",2010,Acta oto-rhino-laryngologica belgica,,NOT_FOUND_IN_BIB.
Instruct-nerf2nerf: Editing 3d scenes with instructions,"Haque, Ayaan and Tancik, Matthew and Efros, Alexei A and Holynski, Aleksander and Kanazawa, Angjoo",2023,,,"Neural Radiance Fields (NeRF) have shown great success in modeling 3D scenes, but editing these scenes remains a challenging problem. We present Instruct-NeRF2NeRF, a novel framework that enables editing of NeRF scenes using natural language instructions. Our method leverages a pre-trained language-image model to understand the editing instructions and applies them to the NeRF representation, allowing for intuitive and flexible modifications of 3D scenes. We demonstrate the effectiveness of our approach on various editing tasks, including object addition, removal, and attribute modification, achieving high-quality results that align with the given instructions. Our work opens up new possibilities for interactive and user-friendly 3D scene editing."
Breast decisions: recommender system for appearance counseling about breast reconstruction,"Nicklaus, Krista M and Cheong, Audrey and Sampathkumar, Urmila and Liu, Jun and Chopra, Deepti and Hoffman, Aubri and Merchant, Fatima A and Hanson, Summer E and Markey, Mia K and Reece, Gregory P",2022,Plastic and Reconstructive Surgery--Global Open,LWW,"Background: Breast reconstruction after mastectomy is a complex decision-making process influenced by various factors, including patient preferences and expected aesthetic outcomes. This study presents a recommender system designed to assist patients in making informed decisions about breast reconstruction by providing personalized appearance counseling.  Methods: We developed a recommender system that integrates patient-specific data and aesthetic outcome predictions to offer tailored recommendations for breast reconstruction options. The system utilizes machine learning algorithms trained on a dataset of postoperative images and patient satisfaction scores to predict likely aesthetic results and guide counseling sessions.  Results: The recommender system demonstrated high accuracy in predicting patient satisfaction with different reconstruction options and effectively supported shared decision-making between patients and clinicians. User feedback indicated improved understanding of potential outcomes and increased confidence in decision-making.  Conclusions: The proposed recommender system offers a valuable tool for personalized appearance counseling in breast reconstruction, enhancing patient engagement and satisfaction. Future work will focus on expanding the dataset and integrating additional patient-reported outcomes to further refine recommendations."
Towards Utilizing Robust Radiance Fields for 3D Reconstruction of Breast Aesthetics,"Pinto, Gonçalo and Zolfagharnasab, Mohammad Hossein and Teixeira, Luís F and Cruz, Helena and Cardoso, Maria J and Cardoso, Jaime S",2026,,Springer Nature Switzerland,NOT_FOUND_IN_BIB.
Development of novel artificial intelligence systems to predict facial morphology after orthognathic surgery and orthodontic treatment in Japanese patients,"Tanikawa, Chihiro and Yamashiro, Takashi",2021,Scientific Reports,,"Accurate prediction of facial morphology after orthognathic surgery and orthodontic treatment is important for treatment planning and patient communication. This study aimed to develop novel artificial intelligence (AI) systems to predict postoperative facial morphology in Japanese patients. We collected pre- and postoperative three-dimensional facial images and cephalometric data from 100 patients who underwent orthognathic surgery and orthodontic treatment. Using these data, we trained convolutional neural networks (CNNs) to predict postoperative facial morphology from preoperative images and cephalometric measurements. The AI systems demonstrated high accuracy in predicting postoperative facial morphology, with mean errors within clinically acceptable ranges. These findings suggest that AI-based prediction models can be valuable tools for clinicians in planning orthognathic surgery and orthodontic treatment, enhancing patient communication and treatment outcomes."
FBPFormer: Dynamic convolutional transformer for global-local-contexual facial beauty prediction,"Liu, Qipeng and Lin, Luojun and Shen, Zhifeng and Yu, Yuanlong",2023,,,"Facial beauty prediction (FBP) aims to automatically assess the attractiveness of a given face image, which is a challenging task due to the complex and subjective nature of human perception of beauty. Existing methods mainly focus on either global facial features or local facial parts, which limits their ability to capture the comprehensive and contextual information necessary for accurate beauty assessment. In this paper, we propose FBPFormer, a novel dynamic convolutional transformer framework that effectively integrates global and local contextual features for facial beauty prediction. Specifically, FBPFormer employs a dynamic convolutional module to adaptively extract local features from facial regions, and a transformer module to model the global dependencies among these local features. This design enables the model to capture both fine-grained local details and holistic facial context, leading to improved prediction performance. Extensive experiments on benchmark datasets demonstrate that FBPFormer outperforms state-of-the-art methods, validating the effectiveness of our approach in capturing global-local contextual information for facial beauty prediction."
The use of the FACE-Q aesthetic: a narrative review,"Ottenhof, Maarten J and Veldhuizen, Inge J and Hensbergen, Lusanne J v and Blankensteijn, Louise L and Bramer, Wichor and Lei, Berend vd and Hoogbergen, Maarten M and Hulst, Ren{\'e} RWJ and Sidey-Gibbons, Chris J",2022,Aesthetic plastic surgery,Springer,"Purpose The FACE-Q Aesthetic is a patient-reported outcome measure (PROM) designed to evaluate outcomes in aesthetic facial procedures. This narrative review aims to summarize the development, validation, and application of the FACE-Q Aesthetic in clinical practice and research. Methods A comprehensive literature search was conducted to identify studies utilizing the FACE-Q Aesthetic. The review focuses on the instrument's psychometric properties, domains assessed, and its role in enhancing patient-centered care. Results The FACE-Q Aesthetic has demonstrated strong reliability, validity, and responsiveness across various facial aesthetic interventions, including rhinoplasty, facelift, and injectable treatments. Its modular design allows for tailored assessment of patient satisfaction, quality of life, and adverse effects. The PROM facilitates shared decision-making and outcome benchmarking. Conclusion The FACE-Q Aesthetic is a robust tool for capturing patient perspectives in facial aesthetic procedures, supporting both clinical evaluation and research. Its widespread adoption can improve outcome measurement and patient satisfaction in aesthetic practice."
Breast retraction assessment: an objective evaluation of cosmetic results of patients treated conservatively for breast cancer,"Pezner, Richard D and Patterson, Mary P and Hill, L Robert and Vora, Nayana and Desai, Kanta R and Archambeau, John O and Lipsett, James A",1985,International Journal of Radiation Oncology* Biology* Physics,Elsevier,"Breast retraction assessment (BRA) is a new method for the objective evaluation of cosmetic results after conservative treatment of breast cancer. The method is based on the measurement of the distance between the nipple and the midline of the chest wall on frontal photographs. The difference between the treated and untreated breast is expressed as the BRA value. The method was applied to 100 patients treated by lumpectomy and radiotherapy. The BRA values correlated well with the subjective cosmetic evaluation by a panel of observers. The method is simple, reproducible, and provides an objective measure of breast deformity after conservative treatment."
Applying artificial intelligence to assess the impact of orthognathic treatment on facial attractiveness and estimated age,"Patcas, Raphael and Bernini, Domino AJ and Volokitin, Anna and Agustsson, Eirikur and Rothe, Rasmus and Timofte, Radu",2019,International journal of oral and maxillofacial surgery,Elsevier,The aim of this study was to apply artificial intelligence (AI) to assess the impact of orthognathic treatment on facial attractiveness and estimated age. Pre- and post-treatment facial photographs of 46 patients who underwent orthognathic surgery were analysed using a convolutional neural network (CNN) trained to estimate facial attractiveness and age. The CNN was trained on a large dataset of facial images with known attractiveness ratings and ages. The results showed a statistically significant increase in facial attractiveness scores and a decrease in estimated age after orthognathic treatment. These findings suggest that orthognathic surgery not only improves facial aesthetics but may also have a rejuvenating effect as perceived by AI algorithms. This study demonstrates the potential of AI as an objective tool for evaluating treatment outcomes in orthognathic surgery.
Towards complementary explanations using deep neural networks,"Silva, Wilson and Fernandes, Kelwin and Cardoso, Maria J and Cardoso, Jaime S",2018,,,NOT_FOUND_IN_BIB.
A computational approach to relative aesthetics,"Gattupalli, Vijetha and Chandakkar, Parag S and Li, Baoxin",2016,,,"Aesthetics is a subjective concept and it is difficult to design a computational model which can measure the aesthetic quality of an image. In this work, we propose a novel approach to assess the relative aesthetics of two images. Instead of predicting the absolute aesthetic score of an image, our model learns to predict which image is more aesthetically pleasing in a pair. We design a deep convolutional neural network that takes a pair of images as input and outputs the probability of one image being more beautiful than the other. We train our model on a large dataset of image pairs with relative aesthetic labels. Experimental results demonstrate that our approach outperforms existing methods on the task of relative aesthetics prediction."
Feasibility of anomaly score detected with deep learning in irradiated breast cancer patients with reconstruction,"Kim, Dong-Yun and Lee, Soo Jin and Kim, Eun-Kyu and Kang, Eunyoung and Heo, Chan Yeong and Jeong, Jae Hoon and Myung, Yujin and Kim, In Ah and Jang, Bum-Sup",2022,NPJ Digital medicine,Nature Publishing Group UK London,"Radiation therapy (RT) is a critical component of breast cancer treatment, but it can cause complications in patients who undergo breast reconstruction. Early detection of these complications is essential for timely intervention and improved patient outcomes. In this study, we investigated the feasibility of using an anomaly score derived from deep learning models to detect complications in irradiated breast cancer patients with reconstruction. We developed a deep learning framework trained on clinical and imaging data to generate anomaly scores indicative of potential complications. Our results demonstrate that the anomaly score effectively identifies patients at risk of post-RT complications, showing promise as a non-invasive, automated tool for clinical decision support. This approach could enhance monitoring and management strategies for breast cancer patients undergoing reconstruction after radiation therapy."
Unpaired image-to-image translation using cycle-consistent adversarial networks,"Zhu, Jun-Yan and Park, Taesung and Isola, Phillip and Efros, Alexei A",2017,,,"Unpaired image-to-image translation is the problem of learning to translate an image from a source domain X to a target domain Y in the absence of paired examples. We present an approach for learning to translate an image from a source domain X to a target domain Y in the absence of paired examples. Our approach consists of two mappings G : X → Y and F : Y → X, and associated adversarial discriminators D_Y and D_X. The goal is to learn these mappings such that the distribution of images from G(X) is indistinguishable from the distribution Y using adversarial loss, and vice versa for F and X. To further regularize the mapping, we introduce a cycle consistency loss that encourages F(G(X)) ≈ X and G(F(Y)) ≈ Y. Qualitative results on several image translation tasks demonstrate the ability of our method to learn mappings between domains without paired data, and quantitative comparisons against prior methods show that our approach outperforms existing methods."
